,,meanAbsdwEE,meanAbsdwIE,meanAbsdwEI,meanAbsdwII,meanSumAbsMAvgDiffdW,meanSumAbsMAvgDiffConvergentdW,meanSumAbsMAvgDiffFRMSE,meanSumAbsMAvgDiffConvergentFRMSE,meanAbsPostConvergencedwEE,meanAbsPostConvergencedwIE,meanAbsPostConvergencedwEI,meanAbsPostConvergencedwII,minMSEExc,meanMSEExc,meanConvergentMSEExc,minMSEExcUnits,meanMSEExcUnits,meanConvergentMSEExcUnits,minMSEInh,meanMSEInh,meanConvergentMSEInh,minMSEInhUnits,meanMSEInhUnits,meanConvergentMSEInhUnits
1,cross-homeo-pre-scalar-homeo,0.1801726861681237,0.10382981854222649,0.4539855461517018,0.2589268029459745,0.2035481472489424,0.19279350384393681,1809.4042638984508,1270.342634978953,0.17660571230026806,0.10246556147726439,0.4500314097238227,0.25812475181086664,0.0,1122.078842498348,594.36023894735,4.519353721562149,1172.2848184109237,642.5911550045136,0.0,474.29003212287034,404.9080093036601,16.906217181264434,789.0437557190993,638.967985067315
2,cross-homeo-pre-scalar-homeo,0.27724214944398134,0.15164358232911204,0.6697107914434209,0.3616301990026857,0.3402911401789198,0.22724762623894687,15407.843010075492,17583.68253705235,0.27117297118130523,0.14152102662391838,0.7469671962947576,0.3960238508827974,2.0511709724845388e-07,6893.075412147185,4670.937872226712,4.684156378600823,6956.7518197532,4730.576314427062,2.9536862003796667e-05,6658.011947051871,10045.893073412974,30.597300987187563,8671.817802126081,12823.425292206262
3,cross-homeo-pre-scalar-homeo,0.036485778597876044,0.019610243192048436,0.08298351270617456,0.04490162945044975,0.07090586379234802,0.022835531551012603,42.137497742030966,26.817044317715954,0.025138924421422727,0.013542811280364029,0.07045466427017967,0.03765659331518993,7.888609052210118e-31,1.8168977939503197,0.048516056303412144,3.5553971975065264,6.784194330542341,5.1322247389281435,3.1554436208840472e-30,14.762872807352787,0.4123239528500541,11.281901006979592,35.52531501255242,21.7064017066154
4,cross-homeo-pre-scalar-homeo,0.06397965623135154,0.03754658588984618,0.16917564526161755,0.09946319852582103,0.06865470359851103,0.04532603639096524,58.32018427901832,49.20922639923309,0.05724390368437648,0.03315847722886249,0.15934657324609458,0.09253650456431449,0.0,1.4054833992420017,0.5956261235440189,2.7653644307102128,10.924313105453894,9.238811790540428,0.0,8.722312672069778,4.287622276145296,9.479247695668386,47.52811091708052,40.05808581723015
5,cross-homeo-pre-scalar-homeo,0.11572000658101098,0.06868287524954443,0.29583238033145315,0.1745268121134317,0.15490610789730216,0.09170708813886894,1748.4709712816914,125.53715650811793,0.0898378647176478,0.05274025370812583,0.2500522001737925,0.1471836502081811,0.0,978.3023941574482,2.199673202148078,2.717279823112579,1020.3263894018811,27.917453165088116,0.0,589.3322055305563,12.213027188512301,9.503329958974906,1113.200540519694,97.6181539468711
6,cross-homeo-pre-scalar-homeo,0.06848570466816252,0.038565198716320956,0.13376129712750334,0.0770515800492642,0.2308837725753574,0.029492245819327294,269.66384108282324,40.42578680583392,0.02647275084512419,0.013937827307737124,0.07467752581503252,0.03997086482204975,7.888609052210118e-31,8.404830429561766,0.0817576858058646,5.279316958815066,16.736960031845342,7.883499381474927,3.1554436208840472e-30,164.5624634353556,0.4738114976451294,16.705844743992753,252.60540224663566,32.56484935653049
7,cross-homeo-pre-scalar-homeo,0.03553698448000324,0.020168584018357322,0.07971551745100793,0.04739144899220566,0.09741328104769562,0.020244636498335584,47.76334299094114,25.809417139477254,0.019987569580311417,0.010872300824312535,0.05620557944383092,0.030358389441748398,7.888609052210118e-31,2.533916230698504,0.029442003752496258,3.241981458788427,6.834050003820341,4.6597013668666385,3.1554436208840472e-30,20.601745583107324,0.26761822259316864,10.982471095956095,41.08599609817661,21.175692759292584
8,cross-homeo-pre-scalar-homeo,0.048960877285168104,0.029502602557433047,0.13667028605504702,0.08246197360780054,0.0359762495073891,0.0148793185565116,60.86235919517503,13.681617956504875,0.020617116113074905,0.011496125919258774,0.05773421960321254,0.032071166294471404,7.888609052210118e-31,4.306940954603346,0.02285259765342296,1.9177566732377858,14.234133636041374,2.429947579103505,0.0,33.00465285562366,0.2653144610649107,8.018967446321062,83.99180969790218,11.248569173123645
0,cross-homeo-pre-outer,0.02295822272790264,0.012927368143569378,0.2467876223128709,0.034626989736400604,0.2911742927866782,0.2910064012745678,9791.104924594336,9928.45704669815,0.02168317790879446,0.012547685916405068,0.24871766731097417,0.03455750205912073,7.888609052210118e-31,16.779850385698598,16.671413426410595,20.06087603425751,725.4453367844482,735.4842203066177,8.264462809918471e-05,120.7650017464422,119.6878161907378,107.8525390625,9061.53427058861,9188.479195412157
1,cross-homeo-pre-outer,0.02799903912014741,0.013445321152579693,0.2698337716682462,0.03614175161231754,0.2935674761837929,0.2926010314666748,10903.240310083687,10859.112683071511,0.026925852193632357,0.013065904868310423,0.2680626262375279,0.03543083858012604,0.0,259.1203692513403,151.14271732663642,9.91777777777778,1014.9662146115962,906.7679912683993,8.573388203021609e-05,201.49485300838398,178.87104331382594,118.21484375,10015.762027745413,9963.0122047798
